epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,41756,0.02154,0.03903,0.89875,0.99937,0.99973,0.995,0.97526,0.22096,0.92586,0.29942,0.00307,0.00307,0.00307
72,41938.9,0.02193,0.0381,0.89472,0.99929,0.9997,0.995,0.9764,0.22014,0.9291,0.29929,0.002971,0.002971,0.002971
73,42122.6,0.02137,0.04137,0.90064,0.99929,0.99972,0.995,0.98178,0.22149,0.92862,0.3005,0.002872,0.002872,0.002872
74,42305.3,0.02154,0.03803,0.89825,0.99918,0.99966,0.995,0.98171,0.22096,0.92595,0.30013,0.002773,0.002773,0.002773
75,42487.6,0.02079,0.03524,0.89825,0.99935,0.99932,0.995,0.98207,0.2208,0.93204,0.29928,0.002674,0.002674,0.002674
76,42669.5,0.02084,0.03517,0.89711,0.99922,0.99965,0.995,0.97969,0.21918,0.93427,0.29654,0.002575,0.002575,0.002575
77,42849.9,0.02052,0.03308,0.89608,0.99942,0.9997,0.995,0.97958,0.21782,0.93784,0.29382,0.002476,0.002476,0.002476
78,43032.2,0.01918,0.03422,0.89874,0.99941,0.99973,0.995,0.97444,0.21833,0.94957,0.2944,0.002377,0.002377,0.002377
79,43212.1,0.01901,0.03335,0.89831,0.99942,0.99976,0.995,0.97718,0.21778,0.96216,0.29423,0.002278,0.002278,0.002278
80,43390.8,inf,0.03264,0.89957,0.99943,0.99978,0.995,0.97571,0.218,0.96408,0.29474,0.002179,0.002179,0.002179
81,43568,0.01867,0.03025,0.89665,0.99937,0.99977,0.995,0.97395,0.2166,0.96687,0.29272,0.00208,0.00208,0.00208
82,43744.5,0.01804,0.02878,0.89695,0.99942,0.99979,0.995,0.97279,0.21632,0.97098,0.29258,0.001981,0.001981,0.001981
83,43921.6,0.0176,0.03056,0.8947,0.99942,0.99978,0.995,0.97442,0.21543,0.97215,0.29136,0.001882,0.001882,0.001882
